Agro-ecological zones,Administrative areas,Agricultural practices,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Length of the cropping cycle,cropping cycle(months),Harvesting period - onset,Harvesting period - end,Min Temp,Max Temp,Min_Rain,Max_Rain,Min_Rain_Growing,Max_Rain_Growing
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",Second season,15/10,31/10,25,kg/ha,135-160 days,5.0,01/02,31/03,17.0,30.0,500.0,1200.0,500.0,800.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",First season,01/03,15/04,25,kg/ha,135-160 days,5.0,15/08,30/09,17.0,30.0,500.0,1200.0,500.0,800.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",Second season,15/10,21/10,25,kg/ha,135-160 days,5.0,28/02,31/03,17.0,30.0,500.0,1200.0,500.0,800.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,,28/02,31/03,3,kg/ha,100-160 days,5.0,15/06,31/08,10.0,30.0,250.0,1000.0,450.0,650.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,01/03,31/03,3,kg/ha,100-160 days,5.0,01/07,31/08,10.0,30.0,250.0,1000.0,450.0,650.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,01/08,15/10,3,kg/ha,100-160 days,5.0,01/11,15/03,10.0,30.0,250.0,1000.0,450.0,650.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",First season,01/03,31/03,3,kg/ha,100-160 days,5.0,01/07,31/08,10.0,30.0,250.0,1000.0,450.0,650.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",Second season,01/10,15/10,3,kg/ha,100-160 days,5.0,01/01,15/03,10.0,30.0,250.0,1000.0,450.0,650.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",First season,15/03,31/03,3,kg/ha,75-110 days,4.0,01/06,30/07,10.0,30.0,250.0,1000.0,450.0,650.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",Second season,25/08,05/09,3,kg/ha,75-110 days,4.0,15/11,15/01,10.0,30.0,250.0,1000.0,450.0,650.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,15/02,28/02,3,kg/ha,75-110 days,4.0,01/05,15/07,10.0,30.0,250.0,1000.0,450.0,650.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,,01/03,31/03,3,kg/ha,75-110 days,4.0,31/05,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",,01/04,31/03,3,kg/ha,75-110 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/04,31/03,3,kg/ha,75-110 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,01/04,31/03,3,kg/ha,75-110 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",First season,01/03,31/03,3,kg/ha,90-120 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",Second season,15/08,15/10,3,kg/ha,90-120 days,4.0,15/11,15/02,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,First season,01/03,31/03,3,kg/ha,90-120 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,Second season,01/10,15/10,3,kg/ha,90-120 days,4.0,15/01,15/02,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",First season,01/03,31/03,3,kg/ha,90-120 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",Second season,01/10,15/10,3,kg/ha,90-120 days,4.0,15/01,15/02,10.0,30.0,250.0,1000.0,450.0,650.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",First season,01/03,31/03,3,kg/ha,90-120 days,4.0,15/06,31/07,10.0,30.0,250.0,1000.0,450.0,650.0
