Agro-ecological zones,Administrative areas,Agricultural practices,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Length of the cropping cycle,cropping cycle(months),Harvesting period - onset,Harvesting period - end,Min Temp,Max Temp,Min_Rain,Max_Rain,Min_Rain_Growing,Max_Rain_Growing
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",First season,15/03,31/03,3,kg/ha,150-180 days,6.0,15/08,30/09,15.0,30.0,500.0,700.0,350.0,550.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",Second season,01/08,15/10,3,kg/ha,150-180 days,6.0,01/02,15/04,15.0,30.0,500.0,700.0,350.0,550.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,First season,15/03,31/03,3,kg/ha,150-180 days,6.0,15/08,30/09,15.0,30.0,500.0,700.0,350.0,550.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,Second season,01/08,15/10,3,kg/ha,150-180 days,6.0,01/01,15/04,15.0,30.0,500.0,700.0,350.0,550.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",First season,15/03,31/03,3,kg/ha,150-180 days,6.0,15/08,30/09,15.0,30.0,500.0,700.0,350.0,550.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",Second season,01/08,15/10,3,kg/ha,150-180 days,6.0,01/02,15/04,15.0,30.0,500.0,700.0,350.0,550.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",,15/03,31/03,3,kg/ha,150-180 days,6.0,15/08,30/09,15.0,30.0,500.0,700.0,350.0,550.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,First season,28/02,15/03,80-120,kg/ha,60-90 days,3.0,01/05,31/07,,,,,350.0,500.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,Second season,01/08,15/10,80-120,kg/ha,60-90 days,3.0,01/10,28/02,,,,,350.0,500.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,01/03,15/03,80-120,kg/ha,60-90 days,3.0,01/05,31/07,,,,,350.0,500.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,15/07,15/10,80-120,kg/ha,60-90 days,3.0,15/07,28/02,,,,,350.0,500.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",First season,15/03,31/03,80-120,kg/ha,60-90 days,3.0,01/05,31/07,,,,,350.0,500.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",Second season,01/10,15/10,80-120,kg/ha,60-90 days,3.0,01/12,28/02,,,,,350.0,500.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,First season,01/03,15/03,80-120,kg/ha,60-90 days,3.0,01/05,31/07,,,,,350.0,500.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,Second season,15/08,15/10,80-120,kg/ha,60-90 days,3.0,15/10,28/02,,,,,350.0,500.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,,15/03,15/04,80-120,kg/ha,60-90 days,3.0,15/03,31/08,,,,,350.0,500.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,First season,01/03,15/03,80-120,kg/ha,60-90 days,3.0,01/05,31/07,,,,,350.0,500.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,Second season,01/10,15/10,80-120,kg/ha,60-90 days,3.0,01/12,28/02,,,1500.0,,350.0,500.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",,15/03,31/03,20-25,kg/ha,120-180 days,6.0,01/08,15/09,18.0,38.0,600.0,1000.0,350.0,500.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,21/10,30/09,20-25,kg/ha,120-180 days,6.0,01/02,15/04,18.0,38.0,600.0,1000.0,350.0,500.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,01/10,15/03,20-25,kg/ha,120-180 days,6.0,15/07,30/09,18.0,38.0,600.0,1000.0,350.0,500.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,Second season,01/10,15/10,20-25,kg/ha,120-180 days,6.0,15/02,15/07,18.0,38.0,600.0,1000.0,350.0,500.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,28/02,15/03,20-25,kg/ha,120-180 days,6.0,01/07,30/09,18.0,38.0,600.0,1000.0,350.0,500.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second season,01/10,15/10,20-25,kg/ha,120-180 days,6.0,15/02,15/07,18.0,38.0,600.0,1000.0,350.0,500.0
Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density.",,01/10,31/10,20-25,kg/ha,120-180 days,6.0,15/02,15/07,18.0,38.0,600.0,1000.0,350.0,500.0
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/04,31/03,20-25,kg/ha,120-180 days,6.0,01/08,15/10,18.0,38.0,600.0,1000.0,350.0,500.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,,01/03,15/03,20-25,kg/ha,120-180 days,6.0,15/07,30/09,18.0,38.0,600.0,1000.0,350.0,500.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",,15/03,31/03,20-25,kg/ha,120-180 days,6.0,01/08,15/09,18.0,38.0,600.0,1000.0,350.0,500.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",,01/10,31/10,20-25,kg/ha,120-180 days,6.0,15/02,15/07,18.0,38.0,600.0,1000.0,350.0,500.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,First season,01/03,31/03,"1,500-2,500",kg/ha,90-150 days,5.0,01/06,31/08,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,Second season,01/08,31/10,"1,500-2,500",kg/ha,90-150 days,5.0,01/11,31/03,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,01/03,15/04,"1,500-2,500",kg/ha,90-150 days,5.0,01/06,15/09,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,01/08,15/09,"1,500-2,500",kg/ha,90-150 days,5.0,01/11,15/02,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",First season,15/03,31/03,"1,500-2,500",kg/ha,90-150 days,5.0,15/06,31/08,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",Second season,01/08,15/09,"1,500-2,500",kg/ha,90-150 days,5.0,01/10,15/04,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 4 (LH4),"Eastern province (Meru), Central province (Nyeri, Nyandarua), Rift valley province (T/Nzoia, Uasin Gishu, W/pokot, Samburu, Nakuru, Narok)","Barley farming, cattle and sheep farming.",First season,01/04,15/04,"1,500-2,500",kg/ha,90-150 days,5.0,15/07,15/09,15.0,18.0,400.0,1500.0,500.0,700.0
Lower Highland Zone 4 (LH4),"Eastern province (Meru), Central province (Nyeri, Nyandarua), Rift valley province (T/Nzoia, Uasin Gishu, W/pokot, Samburu, Nakuru, Narok)","Barley farming, cattle and sheep farming.",Second season,01/08,31/08,"1,500-2,500",kg/ha,90-150 days,5.0,01/11,31/01,15.0,18.0,400.0,1500.0,500.0,700.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,First season,15/03,31/03,"1,500-2,500",kg/ha,90-150 days,5.0,15/06,31/08,15.0,18.0,400.0,1500.0,500.0,700.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,Second season,15/08,15/10,"1,500-2,500",kg/ha,90-150 days,5.0,15/11,15/03,15.0,18.0,400.0,1500.0,500.0,700.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,First season,15/03,31/03,"1,500-2,500",kg/ha,90-150 days,5.0,15/06,31/08,15.0,18.0,400.0,1500.0,500.0,700.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,Second season,15/10,31/10,"1,500-2,500",kg/ha,90-150 days,5.0,15/01,31/03,15.0,18.0,400.0,1500.0,500.0,700.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,First season,15/03,31/03,"1,500-2,500",kg/ha,90-150 days,5.0,15/06,31/08,15.0,18.0,400.0,1500.0,500.0,700.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,Second season,15/10,31/10,"1,500-2,500",kg/ha,90-150 days,5.0,15/01,31/03,15.0,18.0,400.0,1500.0,500.0,700.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",,15/03,31/03,"1,500-2,500",kg/ha,75-120 days,4.0,15/06,15/07,15.0,18.0,400.0,1500.0,500.0,700.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,First season,01/03,31/03,"1,500-2,500",kg/ha,75-120 days,4.0,01/06,15/07,15.0,18.0,400.0,1500.0,500.0,700.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,Second season,15/08,15/09,"1,500-2,500",kg/ha,75-120 days,4.0,15/11,15/01,15.0,18.0,400.0,1500.0,500.0,700.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",First season,01/03,31/03,"1,500-2,500",kg/ha,75-120 days,4.0,01/06,15/08,15.0,18.0,400.0,1500.0,500.0,700.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",Second season,01/07,31/10,"1,500-2,500",kg/ha,75-120 days,4.0,01/10,28/02,15.0,18.0,400.0,1500.0,500.0,700.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",,15/03,31/03,"1,500-2,500",kg/ha,75-120 days,4.0,15/06,15/07,15.0,18.0,400.0,1500.0,500.0,700.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",,15/03,31/03,3-4,kg/ha,80-140 days,5.0,15/06,15/08,,,500.0,3000.0,,
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,15/03,31/03,3-4,kg/ha,80-140 days,5.0,15/06,15/08,,,500.0,1000.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,,01/04,31/03,3-4,kg/ha,80-140 days,5.0,01/07,31/07,,,500.0,1000.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,01/04,31/03,3-4,kg/ha,80-140 days,5.0,01/07,31/07,,,500.0,1000.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second Season,15/10,31/10,3-4,kg/ha,80-140 days,5.0,15/01,31/03,,,500.0,1000.0,,
Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",,01/04,31/03,3-4,kg/ha,80-140 days,5.0,01/07,31/07,,,500.0,1000.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,15/03,31/03,3-4,kg/ha,80-140 days,5.0,15/06,15/08,,,500.0,1000.0,,
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,15/03,31/03,3-4,kg/ha,80-140 days,5.0,15/06,15/08,,,500.0,1000.0,,
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",,01/03,31/03,3-4,kg/ha,80-140 days,5.0,01/06,15/08,,,500.0,1000.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,,01/01,31/12,80-100,kg/ha,120-160 days,5.0,01/01,31/12,20.0,20.0,800.0,2000.0,450.0,700.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",,01/01,31/12,80-100,kg/ha,120-160 days,5.0,01/01,31/12,20.0,36.0,800.0,2000.0,450.0,700.0
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/01,31/12,80-100,kg/ha,120-160 days,5.0,01/01,31/12,20.0,36.0,800.0,2000.0,450.0,700.0
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,01/01,31/12,80-100,kg/ha,90-160 days,5.0,01/01,31/12,20.0,36.0,800.0,2000.0,450.0,700.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,01/08,31/07,5-9,kg/ha,90-140 days,5.0,01/11,20/12,26.0,30.0,300.0,600.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,01/03,15/03,5-9,kg/ha,90-140 days,5.0,15/06,31/07,26.0,30.0,300.0,600.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,Second season,15/08,31/08,5-9,kg/ha,90-140 days,5.0,01/11,31/01,26.0,30.0,300.0,600.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,01/03,15/03,5-9,kg/ha,90-140 days,5.0,15/06,31/07,26.0,30.0,300.0,600.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second season,15/08,31/08,5-9,kg/ha,90-140 days,5.0,01/11,31/01,26.0,30.0,300.0,600.0,,
Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",,15/06,30/06,5-9,kg/ha,90-140 days,5.0,15/09,31/10,26.0,30.0,300.0,600.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",First season,01/04,31/03,5-9,kg/ha,90-140 days,5.0,01/07,15/09,26.0,30.0,300.0,600.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",Second season,01/10,15/10,5-9,kg/ha,90-140 days,5.0,01/02,28/02,26.0,30.0,300.0,600.0,,
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,15/03,31/03,5-9,kg/ha,90-140 days,5.0,01/07,15/09,26.0,30.0,300.0,600.0,,
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",First season,01/04,15/04,7-10,kg/ha,90-120 days,4.0,15/07,15/08,15.0,30.0,250.0,900.0,450.0,650.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",Second season,01/09,15/09,7-10,kg/ha,90-120 days,4.0,15/12,15/01,15.0,30.0,250.0,900.0,450.0,650.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",First season,15/02,15/03,7-10,kg/ha,90-115 days,4.0,01/07,31/07,15.0,30.0,250.0,900.0,450.0,650.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",Second season,01/08,31/08,7-10,kg/ha,85-115 days,4.0,15/11,15/01,15.0,30.0,250.0,900.0,450.0,650.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,15/03,31/03,7-10,kg/ha,85-115 days,4.0,01/07,15/08,15.0,30.0,250.0,900.0,450.0,650.0
